{-9/4, 3*sqrt(7)/4}
{-15/8 - sqrt(21)/8, sqrt(3)/24 + 3*sqrt(7)/8}
{-31/16 - 3*sqrt(21)/16, sqrt(3)/16 + 3*sqrt(7)/16}
{-175/96 - 7*sqrt(21)/32 - sqrt(33)/96 + sqrt(77)/32, -sqrt(231)/32 - sqrt(11)/96 + 7*sqrt(3)/96 + 17*sqrt(7)/32}
{-175/96 - sqrt(77)/32 + sqrt(33)/96 + sqrt(21)/32, -sqrt(3)/96 + sqrt(11)/96 + sqrt(231)/32 + 17*sqrt(7)/32}
{-179/96 - 3*sqrt(21)/32 - sqrt(77)/32 + sqrt(33)/96, sqrt(11)/96 + sqrt(3)/32 + sqrt(231)/32 + 13*sqrt(7)/32}
{-169/96 - 5*sqrt(21)/32 - sqrt(33)/96 + sqrt(77)/32, -sqrt(231)/32 - sqrt(11)/96 + 5*sqrt(3)/96 + 23*sqrt(7)/32}
{-181/96 - sqrt(77)/32 - sqrt(21)/32 + sqrt(33)/96, sqrt(3)/96 + sqrt(11)/96 + sqrt(231)/32 + 11*sqrt(7)/32}
{-57/32 - 3*sqrt(77)/32 - sqrt(33)/96 + sqrt(21)/32, -sqrt(231)/32 - sqrt(3)/96 + sqrt(11)/32 + 21*sqrt(7)/32}
{-59/32 - 3*sqrt(77)/32 - sqrt(21)/32 - sqrt(33)/96, -sqrt(231)/32 + sqrt(3)/96 + sqrt(11)/32 + 15*sqrt(7)/32}
{-89/48 - sqrt(77)/8 + sqrt(21)/16, -sqrt(3)/48 + sqrt(11)/24 + 7*sqrt(7)/16}
{-11/6 - sqrt(77)/8 + sqrt(21)/8, -sqrt(3)/24 + sqrt(11)/24 + sqrt(7)/2}
{-83/48 - sqrt(77)/16 - sqrt(21)/16 - sqrt(33)/48, -sqrt(231)/16 + sqrt(3)/48 + sqrt(11)/48 + 13*sqrt(7)/16}
{-41/24 - sqrt(77)/16 - sqrt(33)/48, -sqrt(231)/16 + sqrt(11)/48 + 7*sqrt(7)/8}
{-43/24 - sqrt(77)/8 + sqrt(21)/8, -sqrt(3)/24 + sqrt(11)/24 + 5*sqrt(7)/8}
{-85/48 - sqrt(77)/8 + 3*sqrt(21)/16, -sqrt(3)/16 + sqrt(11)/24 + 11*sqrt(7)/16}
{-173/96 - 7*sqrt(21)/32 - sqrt(77)/32 - sqrt(33)/96, -sqrt(231)/32 + sqrt(11)/96 + 7*sqrt(3)/96 + 19*sqrt(7)/32}
{-175/96 - 5*sqrt(21)/32 - sqrt(77)/32 - sqrt(33)/96, -sqrt(231)/32 + sqrt(11)/96 + 5*sqrt(3)/96 + 17*sqrt(7)/32}
{-7/4 - 3*sqrt(21)/16 - sqrt(33)/48, -sqrt(231)/16 + sqrt(3)/16 + 3*sqrt(7)/4}
{-59/32 - 3*sqrt(21)/32 - sqrt(77)/32 - sqrt(33)/96, -sqrt(231)/32 + sqrt(11)/96 + sqrt(3)/32 + 15*sqrt(7)/32}
{-173/96 - 3*sqrt(21)/32 - sqrt(77)/32 - sqrt(33)/96, -sqrt(231)/32 + sqrt(11)/96 + sqrt(3)/32 + 19*sqrt(7)/32}
{-11/6 - sqrt(77)/16 - sqrt(21)/16, sqrt(3)/48 + sqrt(11)/48 + sqrt(7)/2}
{-89/48 - sqrt(77)/16, sqrt(11)/48 + 7*sqrt(7)/16}
{-169/96 - 3*sqrt(21)/32 - sqrt(77)/32 - sqrt(33)/96, -sqrt(231)/32 + sqrt(11)/96 + sqrt(3)/32 + 23*sqrt(7)/32}
{-27/16 - sqrt(21)/8 - sqrt(33)/48, -sqrt(231)/16 + sqrt(3)/24 + 15*sqrt(7)/16}
{-57/32 - sqrt(77)/32 - sqrt(21)/32 - sqrt(33)/96, -sqrt(231)/32 + sqrt(3)/96 + sqrt(11)/96 + 21*sqrt(7)/32}
{-29/16 - sqrt(77)/16, sqrt(11)/48 + 9*sqrt(7)/16}
{-167/96 - sqrt(77)/32 - sqrt(21)/32 - sqrt(33)/96, -sqrt(231)/32 + sqrt(3)/96 + sqrt(11)/96 + 25*sqrt(7)/32}
{-43/24 - sqrt(77)/16 + sqrt(21)/16, -sqrt(3)/48 + sqrt(11)/48 + 5*sqrt(7)/8}
{-55/32 - sqrt(77)/32 - sqrt(33)/96 + sqrt(21)/32, -sqrt(231)/32 - sqrt(3)/96 + sqrt(11)/96 + 27*sqrt(7)/32}
{-57/32 - 9*sqrt(21)/32 - sqrt(33)/96 + 3*sqrt(77)/32, -sqrt(231)/32 - sqrt(11)/32 + 3*sqrt(3)/32 + 21*sqrt(7)/32}
{-31/16 - sqrt(21)/8 + sqrt(33)/48, sqrt(3)/24 + 3*sqrt(7)/16 + sqrt(231)/16}
{-179/96 - 5*sqrt(21)/32 + sqrt(33)/96 + sqrt(77)/32, -sqrt(11)/96 + 5*sqrt(3)/96 + sqrt(231)/32 + 13*sqrt(7)/32}
{-43/24 - 3*sqrt(21)/16 + sqrt(77)/16, -sqrt(11)/48 + sqrt(3)/16 + 5*sqrt(7)/8}
{-15/8, 3*sqrt(7)/8}
{-27/16 - sqrt(33)/48, sqrt(7)*(15 - sqrt(33))/16}
{-29/16 + sqrt(21)/16, -sqrt(3)/48 + 9*sqrt(7)/16}
{-15/8 + sqrt(21)/8, -sqrt(3)/24 + 3*sqrt(7)/8}
{-31/16 + 3*sqrt(21)/16, -sqrt(3)/16 + 3*sqrt(7)/16}
{-91/48 + sqrt(77)/16, -sqrt(11)/48 + 5*sqrt(7)/16}
{-85/48 - sqrt(77)/16 + sqrt(21)/8, -sqrt(3)/24 + sqrt(11)/48 + 11*sqrt(7)/16}
{-89/48 - sqrt(77)/16 + sqrt(21)/8, -sqrt(3)/24 + sqrt(11)/48 + 7*sqrt(7)/16}
{-11/6 - sqrt(21)/16 + sqrt(77)/16, -sqrt(11)/48 + sqrt(3)/48 + sqrt(7)/2}
{-11/6 - sqrt(77)/16 + 3*sqrt(21)/16, -sqrt(3)/16 + sqrt(11)/48 + sqrt(7)/2}
{-7/4 - sqrt(33)/48 + sqrt(21)/16, -sqrt(231)/16 - sqrt(3)/48 + 3*sqrt(7)/4}
{-29/16 - sqrt(33)/48 + sqrt(21)/8, -sqrt(231)/16 - sqrt(3)/24 + 9*sqrt(7)/16}
{-85/48 - sqrt(77)/16 - sqrt(33)/48 + 3*sqrt(21)/16, -sqrt(231)/16 - sqrt(3)/16 + sqrt(11)/48 + 11*sqrt(7)/16}
{-83/48 - sqrt(77)/16 - sqrt(33)/48 + 3*sqrt(21)/16, -sqrt(231)/16 - sqrt(3)/16 + sqrt(11)/48 + 13*sqrt(7)/16}
{-85/48 - sqrt(21)/16 - sqrt(33)/48 + sqrt(77)/16, -sqrt(231)/16 - sqrt(11)/48 + sqrt(3)/48 + 11*sqrt(7)/16}
{-83/48 - sqrt(21)/16 - sqrt(33)/48 + sqrt(77)/16, -sqrt(231)/16 - sqrt(11)/48 + sqrt(3)/48 + 13*sqrt(7)/16}
{-41/24 - sqrt(77)/16 - sqrt(33)/48 + sqrt(21)/8, -sqrt(231)/16 - sqrt(3)/24 + sqrt(11)/48 + 7*sqrt(7)/8}
{-5/3 - sqrt(77)/16 - sqrt(33)/48 + sqrt(21)/8, -sqrt(231)/16 - sqrt(3)/24 + sqrt(11)/48 + sqrt(7)}
{-181/96 - sqrt(21)/32 - sqrt(33)/96 + sqrt(77)/32, -sqrt(231)/32 - sqrt(11)/96 + sqrt(3)/96 + 11*sqrt(7)/32}
{-179/96 - sqrt(33)/96 + sqrt(21)/32 + sqrt(77)/32, -sqrt(231)/32 - sqrt(11)/96 - sqrt(3)/96 + 13*sqrt(7)/32}
{-59/32 - 3*sqrt(21)/32 - sqrt(33)/96 + 3*sqrt(77)/32, -sqrt(231)/32 - sqrt(11)/32 + sqrt(3)/32 + 15*sqrt(7)/32}
{-59/32 - sqrt(33)/96 + sqrt(77)/32 + 3*sqrt(21)/32, -sqrt(231)/32 - sqrt(3)/32 - sqrt(11)/96 + 15*sqrt(7)/32}
{-175/96 - sqrt(33)/96 + sqrt(21)/32 + sqrt(77)/32, -sqrt(231)/32 - sqrt(11)/96 - sqrt(3)/96 + 17*sqrt(7)/32}
{-175/96 - sqrt(77)/32 - sqrt(33)/96 + 3*sqrt(21)/32, -sqrt(231)/32 - sqrt(3)/32 + sqrt(11)/96 + 17*sqrt(7)/32}
{-173/96 - sqrt(77)/32 - sqrt(33)/96 + 5*sqrt(21)/32, -sqrt(231)/32 - 5*sqrt(3)/96 + sqrt(11)/96 + 19*sqrt(7)/32}
{-173/96 - sqrt(21)/32 - sqrt(33)/96 + sqrt(77)/32, -sqrt(231)/32 - sqrt(11)/96 + sqrt(3)/96 + 19*sqrt(7)/32}
{-57/32 - 5*sqrt(21)/32 - sqrt(33)/96 + 3*sqrt(77)/32, -sqrt(231)/32 - sqrt(11)/32 + 5*sqrt(3)/96 + 21*sqrt(7)/32}
{-57/32 - sqrt(33)/96 + sqrt(21)/32 + sqrt(77)/32, -sqrt(231)/32 - sqrt(11)/96 - sqrt(3)/96 + 21*sqrt(7)/32}
{-57/32 - sqrt(77)/32 - sqrt(33)/96 + 3*sqrt(21)/32, -sqrt(231)/32 - sqrt(3)/32 + sqrt(11)/96 + 21*sqrt(7)/32}
{-169/96 - sqrt(21)/32 - sqrt(33)/96 + sqrt(77)/32, -sqrt(231)/32 - sqrt(11)/96 + sqrt(3)/96 + 23*sqrt(7)/32}
{-167/96 - sqrt(77)/32 - sqrt(33)/96 + 3*sqrt(21)/32, -sqrt(231)/32 - sqrt(3)/32 + sqrt(11)/96 + 25*sqrt(7)/32}
{-55/32 - sqrt(21)/32 - sqrt(33)/96 + sqrt(77)/32, -sqrt(231)/32 - sqrt(11)/96 + sqrt(3)/96 + 27*sqrt(7)/32}
{-61/32 - 3*sqrt(21)/32 + sqrt(33)/96 + 3*sqrt(77)/32, -sqrt(11)/32 + sqrt(3)/32 + sqrt(231)/32 + 9*sqrt(7)/32}
{-61/32 - 3*sqrt(77)/32 + sqrt(33)/96 + 7*sqrt(21)/32, -7*sqrt(3)/96 + sqrt(11)/32 + sqrt(231)/32 + 9*sqrt(7)/32}
{-181/96 - sqrt(77)/32 + sqrt(33)/96 + 3*sqrt(21)/32, -sqrt(3)/32 + sqrt(11)/96 + sqrt(231)/32 + 11*sqrt(7)/32}
{-179/96 - sqrt(21)/32 + sqrt(33)/96 + sqrt(77)/32, -sqrt(11)/96 + sqrt(3)/96 + sqrt(231)/32 + 13*sqrt(7)/32}
{-85/48 + sqrt(21)/16, -sqrt(3)/48 + 11*sqrt(7)/16}
{-29/16 + 3*sqrt(21)/16, -sqrt(3)/16 + 9*sqrt(7)/16}
{-15/8 + 3*sqrt(21)/8, -sqrt(3)/8 + 3*sqrt(7)/8}
{-55/32 - sqrt(33)/96 - sqrt(21)*(3 - sqrt(33))/32, -sqrt(231)/32 - sqrt(11)/32 + sqrt(3)/32 + 27*sqrt(7)/32}
{-7/4 + sqrt(21)/8, -sqrt(3)/24 + 3*sqrt(7)/4}
{-7/4 + sqrt(21)/4, -sqrt(3)/12 + 3*sqrt(7)/4}
{-7/4 + 3*sqrt(21)/8, -sqrt(3)/8 + 3*sqrt(7)/4}
{-175/96 + sqrt(33)/96 + sqrt(77)/32 + 7*sqrt(21)/32, -7*sqrt(3)/96 - sqrt(11)/96 + sqrt(231)/32 + 17*sqrt(7)/32}
{-163/96 - sqrt(77)/32 - sqrt(33)/96 + 3*sqrt(21)/32, -sqrt(231)/32 - sqrt(3)/32 + sqrt(11)/96 + 29*sqrt(7)/32}
{-167/96 - sqrt(77)/32 - sqrt(33)/96 + 7*sqrt(21)/32, -sqrt(231)/32 - 7*sqrt(3)/96 + sqrt(11)/96 + 25*sqrt(7)/32}
{-175/96 + sqrt(33)/96 + sqrt(77)/32 + 3*sqrt(21)/32, -sqrt(3)/32 - sqrt(11)/96 + sqrt(231)/32 + 17*sqrt(7)/32}
{-163/96 - sqrt(77)/32 - sqrt(33)/96 + 7*sqrt(21)/32, -sqrt(231)/32 - 7*sqrt(3)/96 + sqrt(11)/96 + 29*sqrt(7)/32}
{-55/32 - sqrt(33)/96 + sqrt(21)/32 + 3*sqrt(77)/32, -sqrt(231)/32 - sqrt(11)/32 - sqrt(3)/96 + 27*sqrt(7)/32}
{-55/32 - sqrt(33)/96 + 5*sqrt(21)/32 + 3*sqrt(77)/32, -sqrt(231)/32 - sqrt(11)/32 - 5*sqrt(3)/96 + 27*sqrt(7)/32}
{-5/3 - sqrt(33)/48 + sqrt(77)/16 + sqrt(21)/8, -sqrt(231)/16 - sqrt(3)/24 - sqrt(11)/48 + sqrt(7)}
{-79/48 - sqrt(33)/48 + sqrt(21)/16 + sqrt(77)/16, -sqrt(231)/16 - sqrt(11)/48 - sqrt(3)/48 + 17*sqrt(7)/16}
{-43/24 + sqrt(77)/8, -sqrt(11)/24 + 5*sqrt(7)/8}
{-85/48 - sqrt(21)/16 + sqrt(77)/8, -sqrt(11)/24 + sqrt(3)/48 + 11*sqrt(7)/16}
{-5/3 - sqrt(33)/48 + sqrt(77)/16, -sqrt(231)/16 - sqrt(11)/48 + sqrt(7)}
{-79/48 - sqrt(21)/16 - sqrt(33)/48 + sqrt(77)/16, -sqrt(231)/16 - sqrt(11)/48 + sqrt(3)/48 + 17*sqrt(7)/16}
{-11/6 + sqrt(77)/16 + 3*sqrt(21)/16, -sqrt(3)/16 - sqrt(11)/48 + sqrt(7)/2}
{-43/24 + sqrt(77)/16 + 3*sqrt(21)/16, -sqrt(3)/16 - sqrt(11)/48 + 5*sqrt(7)/8}
{-59/32 + sqrt(33)/96 + 3*sqrt(21)/32 + 3*sqrt(77)/32, -sqrt(11)/32 - sqrt(3)/32 + sqrt(231)/32 + 15*sqrt(7)/32}
{-7/4 + sqrt(77)/16 + 3*sqrt(21)/16, -sqrt(3)/16 - sqrt(11)/48 + 3*sqrt(7)/4}
{-85/48 + sqrt(77)/16 + sqrt(21)/8, -sqrt(3)/24 - sqrt(11)/48 + 11*sqrt(7)/16}
{-167/96 - sqrt(33)/96 + sqrt(77)/32 + 5*sqrt(21)/32, -sqrt(231)/32 - 5*sqrt(3)/96 - sqrt(11)/96 + 25*sqrt(7)/32}
{-163/96 - sqrt(33)/96 + sqrt(77)/32 + 5*sqrt(21)/32, -sqrt(231)/32 - 5*sqrt(3)/96 - sqrt(11)/96 + 29*sqrt(7)/32}
{-43/24 + sqrt(21)/16 + sqrt(77)/16, -sqrt(11)/48 - sqrt(3)/48 + 5*sqrt(7)/8}
{-59/32 - sqrt(21)/32 + sqrt(33)/96 + 3*sqrt(77)/32, -sqrt(11)/32 + sqrt(3)/96 + sqrt(231)/32 + 15*sqrt(7)/32}
{-7/4 + sqrt(21)/16 + sqrt(77)/16, -sqrt(11)/48 - sqrt(3)/48 + 3*sqrt(7)/4}
{-55/32 - sqrt(33)/96 + sqrt(77)/32 + 3*sqrt(21)/32, -sqrt(231)/32 - sqrt(3)/32 - sqrt(11)/96 + 27*sqrt(7)/32}
{-85/48 + sqrt(77)/16, -sqrt(11)/48 + 11*sqrt(7)/16}
{-163/96 - sqrt(33)/96 + sqrt(21)/32 + sqrt(77)/32, -sqrt(231)/32 - sqrt(11)/96 - sqrt(3)/96 + 29*sqrt(7)/32}
{-7/4 - sqrt(21)/16 + sqrt(77)/16, -sqrt(11)/48 + sqrt(3)/48 + 3*sqrt(7)/4}
{-15/8 + sqrt(33)/48 + 3*sqrt(21)/16, -sqrt(3)/16 + sqrt(231)/16 + 3*sqrt(7)/8}
{-55/32 - 3*sqrt(77)/32 - sqrt(33)/96 + 11*sqrt(21)/32, -sqrt(231)/32 - 11*sqrt(3)/96 + sqrt(11)/32 + 27*sqrt(7)/32}
{-85/48 - sqrt(77)/16 + sqrt(21)/4, -sqrt(3)/12 + sqrt(11)/48 + 11*sqrt(7)/16}
{-175/96 - sqrt(77)/32 + sqrt(33)/96 + 5*sqrt(21)/32, -5*sqrt(3)/96 + sqrt(11)/96 + sqrt(231)/32 + 17*sqrt(7)/32}
{-83/48 + sqrt(21)/16, -sqrt(3)/48 + 13*sqrt(7)/16}
{-27/16 + 3*sqrt(21)/16, -sqrt(3)/16 + 15*sqrt(7)/16}
{-13/8 + 3*sqrt(21)/8, -sqrt(3)/8 + 9*sqrt(7)/8}
{-57/32 + sqrt(33)/96 + sqrt(21)*(-3 + sqrt(33))/32, -sqrt(11)/32 + sqrt(3)/32 + sqrt(231)/32 + 21*sqrt(7)/32}
{-27/16 + sqrt(21)/16, -sqrt(3)/48 + 15*sqrt(7)/16}
{-13/8 + sqrt(21)/8, -sqrt(3)/24 + 9*sqrt(7)/8}
{-25/16 + 3*sqrt(21)/16, -sqrt(3)/16 + 21*sqrt(7)/16}
{-161/96 - sqrt(77)/32 + sqrt(33)/96 + 7*sqrt(21)/32, -7*sqrt(3)/96 + sqrt(11)/96 + sqrt(231)/32 + 31*sqrt(7)/32}
{-161/96 - sqrt(21)/32 - sqrt(33)/96 + sqrt(77)/32, -sqrt(231)/32 - sqrt(11)/96 + sqrt(3)/96 + 31*sqrt(7)/32}
{-157/96 - sqrt(33)/96 + sqrt(77)/32 + 3*sqrt(21)/32, -sqrt(231)/32 - sqrt(3)/32 - sqrt(11)/96 + 35*sqrt(7)/32}
{-167/96 - sqrt(77)/32 + sqrt(33)/96 + 5*sqrt(21)/32, -5*sqrt(3)/96 + sqrt(11)/96 + sqrt(231)/32 + 25*sqrt(7)/32}
{-155/96 - sqrt(33)/96 + sqrt(21)/32 + sqrt(77)/32, -sqrt(231)/32 - sqrt(11)/96 - sqrt(3)/96 + 37*sqrt(7)/32}
{-55/32 - sqrt(21)/32 + sqrt(33)/96 + 3*sqrt(77)/32, -sqrt(11)/32 + sqrt(3)/96 + sqrt(231)/32 + 27*sqrt(7)/32}
{-53/32 + sqrt(33)/96 + sqrt(21)/32 + 3*sqrt(77)/32, -sqrt(11)/32 - sqrt(3)/96 + sqrt(231)/32 + 33*sqrt(7)/32}
{-79/48 - sqrt(21)/16 + sqrt(77)/8, -sqrt(11)/24 + sqrt(3)/48 + 17*sqrt(7)/16}
{-5/3 - sqrt(21)/8 + sqrt(77)/8, -sqrt(11)/24 + sqrt(3)/24 + sqrt(7)}
{-85/48 + sqrt(33)/48 + sqrt(21)/16 + sqrt(77)/16, -sqrt(11)/48 - sqrt(3)/48 + sqrt(231)/16 + 11*sqrt(7)/16}
{-43/24 + sqrt(33)/48 + sqrt(77)/16, -sqrt(11)/48 + sqrt(231)/16 + 5*sqrt(7)/8}
{-41/24 - sqrt(21)/8 + sqrt(77)/8, -sqrt(11)/24 + sqrt(3)/24 + 7*sqrt(7)/8}
{-83/48 - 3*sqrt(21)/16 + sqrt(77)/8, -sqrt(11)/24 + sqrt(3)/16 + 13*sqrt(7)/16}
{-163/96 + sqrt(33)/96 + sqrt(77)/32 + 7*sqrt(21)/32, -7*sqrt(3)/96 - sqrt(11)/96 + sqrt(231)/32 + 29*sqrt(7)/32}
{-161/96 + sqrt(33)/96 + sqrt(77)/32 + 5*sqrt(21)/32, -5*sqrt(3)/96 - sqrt(11)/96 + sqrt(231)/32 + 31*sqrt(7)/32}
{-7/4 + sqrt(33)/48 + 3*sqrt(21)/16, -sqrt(3)/16 + sqrt(231)/16 + 3*sqrt(7)/4}
{-53/32 + sqrt(33)/96 + sqrt(77)/32 + 3*sqrt(21)/32, -sqrt(3)/32 - sqrt(11)/96 + sqrt(231)/32 + 33*sqrt(7)/32}
{-163/96 + sqrt(33)/96 + sqrt(77)/32 + 3*sqrt(21)/32, -sqrt(3)/32 - sqrt(11)/96 + sqrt(231)/32 + 29*sqrt(7)/32}
{-5/3 + sqrt(21)/16 + sqrt(77)/16, -sqrt(11)/48 - sqrt(3)/48 + sqrt(7)}
{-79/48 + sqrt(77)/16, -sqrt(11)/48 + 17*sqrt(7)/16}
{-167/96 + sqrt(33)/96 + sqrt(77)/32 + 3*sqrt(21)/32, -sqrt(3)/32 - sqrt(11)/96 + sqrt(231)/32 + 25*sqrt(7)/32}
{-29/16 + sqrt(33)/48 + sqrt(21)/8, -sqrt(3)/24 + sqrt(231)/16 + 9*sqrt(7)/16}
{-55/32 + sqrt(33)/96 + sqrt(21)/32 + sqrt(77)/32, -sqrt(11)/96 - sqrt(3)/96 + sqrt(231)/32 + 27*sqrt(7)/32}
{-27/16 + sqrt(77)/16, -sqrt(11)/48 + 15*sqrt(7)/16}
{-169/96 + sqrt(33)/96 + sqrt(21)/32 + sqrt(77)/32, -sqrt(11)/96 - sqrt(3)/96 + sqrt(231)/32 + 23*sqrt(7)/32}
{-41/24 - sqrt(21)/16 + sqrt(77)/16, -sqrt(11)/48 + sqrt(3)/48 + 7*sqrt(7)/8}
{-57/32 - sqrt(21)/32 + sqrt(33)/96 + sqrt(77)/32, -sqrt(11)/96 + sqrt(3)/96 + sqrt(231)/32 + 21*sqrt(7)/32}
{-55/32 - 3*sqrt(77)/32 + sqrt(33)/96 + 9*sqrt(21)/32, -3*sqrt(3)/32 + sqrt(11)/32 + sqrt(231)/32 + 27*sqrt(7)/32}
{-25/16 - sqrt(33)/48 + sqrt(21)/8, -sqrt(231)/16 - sqrt(3)/24 + 21*sqrt(7)/16}
{-157/96 - sqrt(77)/32 - sqrt(33)/96 + 5*sqrt(21)/32, -sqrt(231)/32 - 5*sqrt(3)/96 + sqrt(11)/96 + 35*sqrt(7)/32}
{-41/24 - sqrt(77)/16 + 3*sqrt(21)/16, -sqrt(3)/16 + sqrt(11)/48 + 7*sqrt(7)/8}
{-77/48 + sqrt(77)/16, -sqrt(11)/48 + 19*sqrt(7)/16}
{-83/48 - sqrt(77)/16 + sqrt(21)/8, -sqrt(3)/24 + sqrt(11)/48 + 13*sqrt(7)/16}
{-79/48 - sqrt(77)/16 + sqrt(21)/8, -sqrt(3)/24 + sqrt(11)/48 + 17*sqrt(7)/16}
{-5/3 - sqrt(21)/16 + sqrt(77)/16, -sqrt(11)/48 + sqrt(3)/48 + sqrt(7)}
{-5/3 - sqrt(77)/16 + 3*sqrt(21)/16, -sqrt(3)/16 + sqrt(11)/48 + sqrt(7)}
{-7/4 + sqrt(33)/48 + sqrt(21)/16, -sqrt(3)/48 + sqrt(231)/16 + 3*sqrt(7)/4}
{-27/16 + sqrt(33)/48 + sqrt(21)/8, -sqrt(3)/24 + sqrt(231)/16 + 15*sqrt(7)/16}
{-83/48 - sqrt(77)/16 + sqrt(33)/48 + 3*sqrt(21)/16, -sqrt(3)/16 + sqrt(11)/48 + sqrt(231)/16 + 13*sqrt(7)/16}
{-85/48 - sqrt(77)/16 + sqrt(33)/48 + 3*sqrt(21)/16, -sqrt(3)/16 + sqrt(11)/48 + sqrt(231)/16 + 11*sqrt(7)/16}
{-83/48 - sqrt(21)/16 + sqrt(33)/48 + sqrt(77)/16, -sqrt(11)/48 + sqrt(3)/48 + sqrt(231)/16 + 13*sqrt(7)/16}
{-85/48 - sqrt(21)/16 + sqrt(33)/48 + sqrt(77)/16, -sqrt(11)/48 + sqrt(3)/48 + sqrt(231)/16 + 11*sqrt(7)/16}
{-43/24 - sqrt(77)/16 + sqrt(33)/48 + sqrt(21)/8, -sqrt(3)/24 + sqrt(11)/48 + sqrt(231)/16 + 5*sqrt(7)/8}
{-11/6 - sqrt(77)/16 + sqrt(33)/48 + sqrt(21)/8, -sqrt(3)/24 + sqrt(11)/48 + sqrt(231)/16 + sqrt(7)/2}
{-155/96 - sqrt(21)/32 + sqrt(33)/96 + sqrt(77)/32, -sqrt(11)/96 + sqrt(3)/96 + sqrt(231)/32 + 37*sqrt(7)/32}
{-157/96 + sqrt(33)/96 + sqrt(21)/32 + sqrt(77)/32, -sqrt(11)/96 - sqrt(3)/96 + sqrt(231)/32 + 35*sqrt(7)/32}
{-53/32 - 3*sqrt(21)/32 + sqrt(33)/96 + 3*sqrt(77)/32, -sqrt(11)/32 + sqrt(3)/32 + sqrt(231)/32 + 33*sqrt(7)/32}
{-161/96 + sqrt(33)/96 + sqrt(21)/32 + sqrt(77)/32, -sqrt(11)/96 - sqrt(3)/96 + sqrt(231)/32 + 31*sqrt(7)/32}
{-161/96 - sqrt(77)/32 + sqrt(33)/96 + 3*sqrt(21)/32, -sqrt(3)/32 + sqrt(11)/96 + sqrt(231)/32 + 31*sqrt(7)/32}
{-163/96 - sqrt(77)/32 + sqrt(33)/96 + 5*sqrt(21)/32, -5*sqrt(3)/96 + sqrt(11)/96 + sqrt(231)/32 + 29*sqrt(7)/32}
{-163/96 - sqrt(21)/32 + sqrt(33)/96 + sqrt(77)/32, -sqrt(11)/96 + sqrt(3)/96 + sqrt(231)/32 + 29*sqrt(7)/32}
{-55/32 - 5*sqrt(21)/32 + sqrt(33)/96 + 3*sqrt(77)/32, -sqrt(11)/32 + 5*sqrt(3)/96 + sqrt(231)/32 + 27*sqrt(7)/32}
{-55/32 - sqrt(77)/32 + sqrt(33)/96 + 3*sqrt(21)/32, -sqrt(3)/32 + sqrt(11)/96 + sqrt(231)/32 + 27*sqrt(7)/32}
{-167/96 - sqrt(21)/32 + sqrt(33)/96 + sqrt(77)/32, -sqrt(11)/96 + sqrt(3)/96 + sqrt(231)/32 + 25*sqrt(7)/32}
{-169/96 - sqrt(77)/32 + sqrt(33)/96 + 3*sqrt(21)/32, -sqrt(3)/32 + sqrt(11)/96 + sqrt(231)/32 + 23*sqrt(7)/32}
{-51/32 - 3*sqrt(21)/32 - sqrt(33)/96 + 3*sqrt(77)/32, -sqrt(231)/32 - sqrt(11)/32 + sqrt(3)/32 + 39*sqrt(7)/32}
{-51/32 - 3*sqrt(77)/32 - sqrt(33)/96 + 7*sqrt(21)/32, -sqrt(231)/32 - 7*sqrt(3)/96 + sqrt(11)/32 + 39*sqrt(7)/32}
{-155/96 - sqrt(77)/32 - sqrt(33)/96 + 3*sqrt(21)/32, -sqrt(231)/32 - sqrt(3)/32 + sqrt(11)/96 + 37*sqrt(7)/32}
{-157/96 - sqrt(21)/32 - sqrt(33)/96 + sqrt(77)/32, -sqrt(231)/32 - sqrt(11)/96 + sqrt(3)/96 + 35*sqrt(7)/32}
{-161/96 - sqrt(33)/96 + sqrt(77)/32 + 7*sqrt(21)/32, -sqrt(231)/32 - 7*sqrt(3)/96 - sqrt(11)/96 + 31*sqrt(7)/32}
{-173/96 - sqrt(77)/32 + sqrt(33)/96 + 3*sqrt(21)/32, -sqrt(3)/32 + sqrt(11)/96 + sqrt(231)/32 + 19*sqrt(7)/32}
{-169/96 - sqrt(77)/32 + sqrt(33)/96 + 7*sqrt(21)/32, -7*sqrt(3)/96 + sqrt(11)/96 + sqrt(231)/32 + 23*sqrt(7)/32}
{-161/96 - sqrt(33)/96 + sqrt(77)/32 + 3*sqrt(21)/32, -sqrt(231)/32 - sqrt(3)/32 - sqrt(11)/96 + 31*sqrt(7)/32}
{-173/96 - sqrt(77)/32 + sqrt(33)/96 + 7*sqrt(21)/32, -7*sqrt(3)/96 + sqrt(11)/96 + sqrt(231)/32 + 19*sqrt(7)/32}
{-57/32 + sqrt(33)/96 + sqrt(21)/32 + 3*sqrt(77)/32, -sqrt(11)/32 - sqrt(3)/96 + sqrt(231)/32 + 21*sqrt(7)/32}
{-57/32 + sqrt(33)/96 + 5*sqrt(21)/32 + 3*sqrt(77)/32, -sqrt(11)/32 - 5*sqrt(3)/96 + sqrt(231)/32 + 21*sqrt(7)/32}
{-11/6 + sqrt(33)/48 + sqrt(77)/16 + sqrt(21)/8, -sqrt(3)/24 - sqrt(11)/48 + sqrt(231)/16 + sqrt(7)/2}
{-89/48 + sqrt(33)/48 + sqrt(21)/16 + sqrt(77)/16, -sqrt(11)/48 - sqrt(3)/48 + sqrt(231)/16 + 7*sqrt(7)/16}
