{-9/4, 3*sqrt(7)/4}
{-215/96 - 5*sqrt(21)/32 + sqrt(33)/96 + sqrt(77)/32, -sqrt(231)/32 - 5*sqrt(3)/96 + sqrt(11)/96 + 23*sqrt(7)/32}
{-203/96 - sqrt(77)/32 - sqrt(21)/32 - sqrt(33)/96, -sqrt(11)/96 - sqrt(3)/96 + sqrt(231)/32 + 11*sqrt(7)/32}
{-71/32 - 3*sqrt(77)/32 + sqrt(33)/96 + sqrt(21)/32, -sqrt(231)/32 - sqrt(11)/32 + sqrt(3)/96 + 21*sqrt(7)/32}
{-69/32 - 3*sqrt(77)/32 - sqrt(21)/32 + sqrt(33)/96, -sqrt(231)/32 - sqrt(11)/32 - sqrt(3)/96 + 15*sqrt(7)/32}
{-103/48 - sqrt(77)/8 + sqrt(21)/16, -sqrt(11)/24 + sqrt(3)/48 + 7*sqrt(7)/16}
{-13/6 - sqrt(77)/8 + sqrt(21)/8, -sqrt(11)/24 + sqrt(3)/24 + sqrt(7)/2}
{-109/48 - sqrt(77)/16 - sqrt(21)/16 + sqrt(33)/48, -sqrt(231)/16 - sqrt(11)/48 - sqrt(3)/48 + 13*sqrt(7)/16}
{-55/24 - sqrt(77)/16 + sqrt(33)/48, -sqrt(231)/16 - sqrt(11)/48 + 7*sqrt(7)/8}
{-53/24 - sqrt(77)/8 + sqrt(21)/8, -sqrt(11)/24 + sqrt(3)/24 + 5*sqrt(7)/8}
{-107/48 - sqrt(77)/8 + 3*sqrt(21)/16, -sqrt(11)/24 + sqrt(3)/16 + 11*sqrt(7)/16}
{-211/96 - 7*sqrt(21)/32 - sqrt(77)/32 + sqrt(33)/96, -sqrt(231)/32 - 7*sqrt(3)/96 - sqrt(11)/96 + 19*sqrt(7)/32}
{-209/96 - 5*sqrt(21)/32 - sqrt(77)/32 + sqrt(33)/96, -sqrt(231)/32 - 5*sqrt(3)/96 - sqrt(11)/96 + 17*sqrt(7)/32}
{-9/4 - 3*sqrt(21)/16 + sqrt(33)/48, -sqrt(231)/16 - sqrt(3)/16 + 3*sqrt(7)/4}
{-69/32 - 3*sqrt(21)/32 - sqrt(77)/32 + sqrt(33)/96, -sqrt(231)/32 - sqrt(3)/32 - sqrt(11)/96 + 15*sqrt(7)/32}
